,日期,收益率
223,2021-09-27,55.42%
224,2021-09-28,60.13%
225,2021-09-29,47.74%
226,2021-09-30,45.65%
227,2021-10-08,45.77%
228,2021-10-11,37.47%
229,2021-10-12,31.62%
230,2021-10-13,33.7%
231,2021-10-14,46.72%
232,2021-10-15,38.39%
233,2021-10-18,47.09%
234,2021-10-19,44.53%
235,2021-10-20,44.5%
236,2021-10-21,42.44%
237,2021-10-22,44.57%
238,2021-10-25,44.42%
239,2021-10-26,42.71%
240,2021-10-27,40.56%
241,2021-10-28,35.79%
242,2021-10-29,39.22%
243,2021-11-01,45.98%
244,2021-11-02,46.44%
245,2021-11-03,40.68%
246,2021-11-04,49.09%
247,2021-11-05,44.44%
248,2021-11-08,41.42%
249,2021-11-09,42.79%
250,2021-11-10,42.79%
251,2021-11-11,44.21%
252,2021-11-12,47.58%
253,2021-11-15,51.44%
254,2021-11-16,48.61%
255,2021-11-17,54.41%
256,2021-11-18,46.08%
257,2021-11-19,45.49%
258,2021-11-22,47.35%
259,2021-11-23,47.35%
260,2021-11-24,47.36%
261,2021-11-25,55.44%
