,日期,收益率
199,2021-08-20,-51.77%
200,2021-08-23,-50.5%
201,2021-08-24,-50.92%
202,2021-08-25,-52.04%
203,2021-08-26,-51.48%
204,2021-08-27,-51.34%
205,2021-08-30,-53.08%
206,2021-08-31,-53.7%
207,2021-09-01,-54.4%
208,2021-09-02,-50.53%
209,2021-09-03,-53.09%
210,2021-09-06,-53.45%
211,2021-09-07,-53.38%
212,2021-09-08,-53.34%
213,2021-09-09,-52.81%
214,2021-09-10,-51.92%
215,2021-09-13,-49.24%
216,2021-09-14,-50.33%
217,2021-09-15,-47.55%
218,2021-09-16,-49.07%
219,2021-09-17,-50.0%
220,2021-09-22,-50.43%
221,2021-09-23,-50.68%
222,2021-09-24,-51.85%
223,2021-09-27,-52.66%
224,2021-09-28,-52.95%
225,2021-09-29,-55.16%
226,2021-09-30,-54.76%
227,2021-10-08,-53.06%
228,2021-10-11,-53.45%
229,2021-10-12,-53.21%
230,2021-10-13,-53.21%
231,2021-10-14,-53.79%
232,2021-10-15,-53.79%
233,2021-10-18,-53.79%
234,2021-10-19,-54.59%
235,2021-10-20,-54.6%
236,2021-10-21,-55.25%
237,2021-10-22,-54.58%
238,2021-10-25,-54.62%
239,2021-10-26,-55.16%
240,2021-10-27,-55.22%
241,2021-10-28,-56.69%
242,2021-10-29,-55.6%
243,2021-11-01,-53.44%
244,2021-11-02,-53.29%
245,2021-11-03,-55.13%
246,2021-11-04,-52.44%
247,2021-11-05,-53.93%
248,2021-11-08,-54.9%
249,2021-11-09,-54.46%
250,2021-11-10,-54.46%
251,2021-11-11,-54.01%
252,2021-11-12,-52.94%
253,2021-11-15,-51.71%
254,2021-11-16,-52.61%
255,2021-11-17,-50.76%
256,2021-11-18,-53.42%
257,2021-11-19,-53.6%
258,2021-11-22,-53.01%
259,2021-11-23,-53.01%
260,2021-11-24,-53.01%
261,2021-11-25,-50.44%
