,日期,收益率
0,2020-10-30,-5.64%
1,2020-11-02,-0.84%
2,2020-11-03,-0.84%
3,2020-11-04,3.07%
4,2020-11-05,3.12%
5,2020-11-06,-1.51%
6,2020-11-09,-0.02%
7,2020-11-10,-5.03%
8,2020-11-11,-11.03%
9,2020-11-12,-6.35%
10,2020-11-13,-8.49%
11,2020-11-16,0.46%
12,2020-11-17,0.46%
13,2020-11-18,0.46%
14,2020-11-19,1.45%
15,2020-11-20,0.4%
16,2020-11-23,-1.27%
17,2020-11-24,-4.28%
18,2020-11-25,-8.58%
19,2020-11-26,-9.65%
20,2020-11-27,-11.04%
21,2020-11-30,-11.39%
22,2020-12-01,-11.39%
23,2020-12-02,-10.87%
24,2020-12-03,-11.73%
25,2020-12-04,-12.6%
26,2020-12-07,-14.1%
27,2020-12-08,-15.85%
28,2020-12-09,-14.05%
29,2020-12-10,-17.39%
30,2020-12-11,-18.28%
31,2020-12-14,-20.22%
32,2020-12-15,-21.14%
33,2020-12-16,-22.91%
34,2020-12-17,-23.82%
35,2020-12-18,-22.99%
36,2020-12-21,-23.72%
37,2020-12-22,-27.24%
38,2020-12-23,-27.24%
39,2020-12-24,-27.68%
40,2020-12-25,-24.71%
41,2020-12-28,-25.49%
42,2020-12-29,-31.17%
43,2020-12-30,-31.68%
44,2020-12-31,-31.68%
45,2021-01-04,-31.68%
46,2021-01-05,-31.47%
47,2021-01-06,-33.38%
48,2021-01-07,-34.47%
49,2021-01-08,-35.9%
50,2021-01-11,-40.09%
51,2021-01-12,-40.1%
52,2021-01-13,-40.1%
53,2021-01-14,-40.1%
54,2021-01-15,-40.12%
55,2021-01-18,-40.72%
56,2021-01-19,-39.37%
57,2021-01-20,-38.77%
58,2021-01-21,-39.52%
59,2021-01-22,-39.07%
60,2021-01-25,-38.18%
61,2021-01-26,-40.79%
62,2021-01-27,-40.79%
63,2021-01-28,-40.79%
64,2021-01-29,-40.79%
65,2021-02-01,-40.79%
66,2021-02-02,-41.17%
67,2021-02-03,-38.58%
68,2021-02-04,-39.96%
69,2021-02-05,-46.07%
70,2021-02-08,-46.07%
71,2021-02-09,-46.07%
72,2021-02-10,-44.84%
73,2021-02-18,-41.0%
74,2021-02-19,-38.82%
75,2021-02-22,-39.76%
76,2021-02-23,-41.62%
77,2021-02-24,-42.01%
78,2021-02-25,-42.01%
79,2021-02-26,-44.39%
80,2021-03-01,-47.02%
81,2021-03-02,-47.02%
82,2021-03-03,-47.02%
83,2021-03-04,-47.02%
84,2021-03-05,-47.02%
85,2021-03-08,-47.6%
86,2021-03-09,-49.67%
87,2021-03-10,-50.48%
88,2021-03-11,-50.48%
89,2021-03-12,-49.56%
90,2021-03-15,-48.51%
91,2021-03-16,-48.58%
92,2021-03-17,-49.11%
93,2021-03-18,-49.46%
94,2021-03-19,-50.06%
95,2021-03-22,-48.9%
96,2021-03-23,-50.65%
97,2021-03-24,-52.23%
98,2021-03-25,-54.59%
99,2021-03-26,-53.8%
100,2021-03-29,-52.03%
101,2021-03-30,-52.2%
102,2021-03-31,-52.77%
103,2021-04-01,-52.78%
104,2021-04-02,-52.43%
105,2021-04-06,-52.61%
106,2021-04-07,-53.39%
107,2021-04-08,-51.38%
108,2021-04-09,-50.29%
109,2021-04-12,-51.95%
110,2021-04-13,-51.56%
111,2021-04-14,-50.22%
112,2021-04-15,-51.64%
113,2021-04-16,-52.2%
114,2021-04-19,-50.93%
115,2021-04-20,-50.94%
116,2021-04-21,-49.17%
117,2021-04-22,-49.17%
118,2021-04-23,-47.75%
119,2021-04-26,-49.91%
120,2021-04-27,-48.01%
121,2021-04-28,-48.23%
122,2021-04-29,-49.02%
123,2021-04-30,-52.07%
124,2021-05-06,-52.06%
125,2021-05-07,-51.06%
126,2021-05-10,-48.3%
127,2021-05-11,-49.55%
128,2021-05-12,-50.08%
129,2021-05-13,-50.23%
130,2021-05-14,-48.6%
131,2021-05-17,-48.57%
132,2021-05-18,-48.83%
133,2021-05-19,-48.87%
134,2021-05-20,-49.36%
135,2021-05-21,-50.09%
136,2021-05-24,-50.06%
137,2021-05-25,-49.64%
138,2021-05-26,-48.95%
139,2021-05-27,-48.11%
140,2021-05-28,-47.57%
141,2021-05-31,-47.62%
142,2021-06-01,-46.98%
143,2021-06-02,-46.69%
144,2021-06-03,-46.74%
145,2021-06-04,-47.15%
146,2021-06-07,-47.97%
147,2021-06-08,-47.47%
148,2021-06-09,-46.87%
149,2021-06-10,-47.04%
150,2021-06-11,-47.49%
151,2021-06-15,-48.11%
152,2021-06-16,-48.72%
153,2021-06-17,-48.28%
154,2021-06-18,-47.83%
155,2021-06-21,-46.35%
156,2021-06-22,-43.95%
157,2021-06-23,-44.49%
158,2021-06-24,-45.3%
159,2021-06-25,-44.96%
160,2021-06-28,-44.56%
161,2021-06-29,-44.9%
162,2021-06-30,-44.2%
163,2021-07-01,-45.24%
164,2021-07-02,-45.06%
165,2021-07-05,-45.3%
166,2021-07-06,-44.05%
167,2021-07-07,-44.93%
168,2021-07-08,-45.07%
169,2021-07-09,-44.55%
170,2021-07-12,-42.87%
171,2021-07-13,-43.83%
172,2021-07-14,-44.18%
173,2021-07-15,-44.98%
174,2021-07-16,-44.9%
175,2021-07-19,-44.84%
176,2021-07-20,-45.28%
177,2021-07-21,-45.29%
178,2021-07-22,-47.43%
179,2021-07-23,-49.24%
180,2021-07-26,-50.71%
181,2021-07-27,-49.01%
182,2021-07-28,-51.7%
183,2021-07-29,-47.88%
184,2021-07-30,-48.07%
185,2021-08-02,-47.56%
186,2021-08-03,-49.32%
187,2021-08-04,-48.69%
188,2021-08-05,-49.11%
189,2021-08-06,-49.11%
190,2021-08-09,-50.12%
191,2021-08-10,-51.43%
192,2021-08-11,-51.43%
193,2021-08-12,-50.97%
194,2021-08-13,-49.78%
195,2021-08-16,-50.25%
196,2021-08-17,-51.3%
197,2021-08-18,-50.77%
198,2021-08-19,-51.91%
