,日期,收益率
213,2021-09-09,-46.15%
214,2021-09-10,-45.13%
215,2021-09-13,-43.92%
216,2021-09-14,-43.53%
217,2021-09-15,-42.36%
218,2021-09-16,-44.43%
219,2021-09-17,-45.49%
220,2021-09-22,-43.62%
221,2021-09-23,-43.62%
222,2021-09-24,-44.44%
223,2021-09-27,-45.36%
224,2021-09-28,-45.69%
225,2021-09-29,-48.24%
226,2021-09-30,-47.77%
227,2021-10-08,-45.8%
228,2021-10-11,-46.23%
229,2021-10-12,-45.96%
230,2021-10-13,-45.96%
231,2021-10-14,-46.62%
232,2021-10-15,-46.62%
233,2021-10-18,-46.62%
234,2021-10-19,-47.55%
235,2021-10-20,-47.56%
236,2021-10-21,-48.31%
237,2021-10-22,-47.54%
238,2021-10-25,-47.59%
239,2021-10-26,-48.21%
240,2021-10-27,-48.28%
241,2021-10-28,-49.98%
242,2021-10-29,-48.71%
243,2021-11-01,-46.22%
244,2021-11-02,-46.05%
245,2021-11-03,-48.17%
246,2021-11-04,-45.07%
247,2021-11-05,-46.79%
248,2021-11-08,-47.91%
249,2021-11-09,-47.4%
250,2021-11-10,-47.4%
251,2021-11-11,-46.88%
252,2021-11-12,-45.63%
253,2021-11-15,-44.21%
254,2021-11-16,-45.26%
255,2021-11-17,-43.11%
256,2021-11-18,-46.19%
257,2021-11-19,-46.41%
258,2021-11-22,-45.72%
259,2021-11-23,-45.72%
260,2021-11-24,-45.72%
261,2021-11-25,-42.75%
