,日期,收益率
139,2021-05-27,27.59%
140,2021-05-28,27.2%
141,2021-05-31,26.48%
142,2021-06-01,26.54%
143,2021-06-02,27.18%
144,2021-06-03,25.28%
145,2021-06-04,23.1%
146,2021-06-07,22.87%
147,2021-06-08,23.39%
148,2021-06-09,24.44%
149,2021-06-10,25.54%
150,2021-06-11,25.06%
151,2021-06-15,25.64%
152,2021-06-16,22.31%
153,2021-06-17,23.04%
154,2021-06-18,23.26%
155,2021-06-21,24.01%
156,2021-06-22,26.78%
157,2021-06-23,25.48%
158,2021-06-24,21.84%
159,2021-06-25,19.73%
160,2021-06-28,21.23%
161,2021-06-29,20.61%
162,2021-06-30,21.68%
163,2021-07-01,20.16%
164,2021-07-02,19.44%
165,2021-07-05,20.03%
166,2021-07-06,20.09%
167,2021-07-07,17.27%
168,2021-07-08,18.35%
169,2021-07-09,16.67%
170,2021-07-12,21.71%
171,2021-07-13,18.45%
172,2021-07-14,19.59%
173,2021-07-15,16.23%
174,2021-07-16,13.5%
175,2021-07-19,14.26%
176,2021-07-20,12.67%
177,2021-07-21,14.52%
178,2021-07-22,10.07%
179,2021-07-23,10.23%
180,2021-07-26,11.19%
181,2021-07-27,6.17%
182,2021-07-28,2.79%
183,2021-07-29,4.74%
184,2021-07-30,5.03%
185,2021-08-02,6.57%
186,2021-08-03,3.71%
187,2021-08-04,3.43%
188,2021-08-05,2.71%
189,2021-08-06,4.24%
190,2021-08-09,4.1%
191,2021-08-10,4.75%
192,2021-08-11,5.52%
193,2021-08-12,4.09%
194,2021-08-13,4.83%
195,2021-08-16,6.1%
196,2021-08-17,6.98%
197,2021-08-18,5.01%
198,2021-08-19,3.41%
199,2021-08-20,3.74%
200,2021-08-23,8.76%
201,2021-08-24,13.66%
202,2021-08-25,9.16%
203,2021-08-26,8.79%
204,2021-08-27,4.81%
205,2021-08-30,10.42%
206,2021-08-31,12.2%
207,2021-09-01,20.45%
208,2021-09-02,21.25%
209,2021-09-03,19.61%
210,2021-09-06,23.28%
211,2021-09-07,25.78%
212,2021-09-08,25.24%
213,2021-09-09,31.34%
214,2021-09-10,33.84%
215,2021-09-13,34.68%
216,2021-09-14,34.33%
217,2021-09-15,36.2%
218,2021-09-16,33.31%
219,2021-09-17,33.45%
220,2021-09-22,37.76%
221,2021-09-23,37.07%
222,2021-09-24,33.67%
223,2021-09-27,27.7%
224,2021-09-28,27.78%
225,2021-09-29,24.87%
226,2021-09-30,24.54%
227,2021-10-08,26.94%
228,2021-10-11,22.86%
229,2021-10-12,19.98%
230,2021-10-13,21.12%
231,2021-10-14,27.54%
232,2021-10-15,22.99%
233,2021-10-18,27.84%
234,2021-10-19,25.63%
235,2021-10-20,25.63%
236,2021-10-21,23.98%
237,2021-10-22,25.93%
238,2021-10-25,25.79%
239,2021-10-26,24.31%
240,2021-10-27,22.5%
241,2021-10-28,18.29%
242,2021-10-29,21.29%
243,2021-11-01,27.14%
244,2021-11-02,27.58%
245,2021-11-03,22.62%
246,2021-11-04,29.9%
247,2021-11-05,25.97%
248,2021-11-08,23.37%
249,2021-11-09,24.71%
250,2021-11-10,24.7%
251,2021-11-11,25.97%
252,2021-11-12,29.03%
253,2021-11-15,32.18%
254,2021-11-16,29.72%
255,2021-11-17,34.7%
256,2021-11-18,27.49%
257,2021-11-19,27.05%
258,2021-11-22,28.73%
259,2021-11-23,28.75%
260,2021-11-24,28.77%
261,2021-11-25,35.72%
