成交日期,证券代码,买卖标志,成交数量,成交价格
2021-11-25,603358.SHA,买入,58000,22.08
2021-11-24,600735.SHA,卖出,200,7.36
2021-11-24,000055.SZA,卖出,200,4.9
2021-11-22,300789.SZA,卖出,42400,30.18
2021-11-16,600609.SHA,卖出,100,7.29
2021-11-15,600735.SHA,买入,200,6.93
2021-11-15,000055.SZA,买入,200,4.86
2021-11-11,300789.SZA,买入,42400,29.2
2021-11-09,600487.SHA,卖出,79600,15.61
2021-11-05,600609.SHA,买入,100,6.58
2021-10-29,600487.SHA,买入,79600,14.82
2021-10-28,603366.SHA,卖出,125100,4.75
2021-10-28,600730.SHA,卖出,104600,5.62
2021-10-19,603366.SHA,买入,125100,5.11
2021-10-19,600730.SHA,买入,104600,6.11
2021-10-18,002339.SZA,卖出,145300,7.65
2021-10-14,000529.SZA,卖出,28600,5.88
2021-10-08,601177.SHA,卖出,100,9.27
2021-09-30,002339.SZA,买入,145300,7.68
2021-09-29,603969.SHA,卖出,104000,3.99
2021-09-29,600435.SHA,卖出,51500,9.21
2021-09-28,000529.SZA,买入,28600,5.68
2021-09-28,600735.SHA,卖出,12700,6.17
2021-09-28,600478.SHA,卖出,10600,6.86
2021-09-28,600172.SHA,卖出,8400,9.22
2021-09-24,600067.SHA,卖出,34000,4.58
2021-09-23,002270.SZA,卖出,800,7.85
2021-09-22,601177.SHA,买入,100,9.86
2021-09-17,600569.SHA,卖出,200,4.06
2021-09-16,603969.SHA,买入,104000,4.71
2021-09-16,600435.SHA,买入,51500,9.5
2021-09-15,600735.SHA,买入,12700,6.54
2021-09-15,600478.SHA,买入,10600,7.8
2021-09-15,600172.SHA,买入,8400,9.86
2021-09-15,300150.SZA,卖出,62000,4.85
2021-09-15,002105.SZA,卖出,37400,9.45
2021-09-15,002012.SZA,卖出,48700,6.71
2021-09-14,603977.SHA,卖出,11300,11.33
2021-09-14,002267.SZA,卖出,14700,8.25
2021-09-13,002452.SZA,卖出,18600,8.65
2021-09-13,600067.SHA,买入,34000,4.73
2021-09-10,002270.SZA,买入,800,7.21
2021-09-09,002665.SZA,卖出,1300,2.72
2021-09-09,000159.SZA,卖出,300,8.66
2021-09-08,600569.SHA,买入,200,4.17
2021-09-06,300150.SZA,买入,62000,5.3
2021-09-06,002105.SZA,买入,37400,8.79
2021-09-06,002012.SZA,买入,48700,6.74
2021-09-03,603977.SHA,买入,11300,10.65
2021-09-03,002452.SZA,买入,18600,6.49
2021-09-03,002267.SZA,买入,14700,8.2
2021-09-03,600782.SHA,卖出,116200,8.5
2021-09-02,000720.SZA,卖出,500,4.55
2021-09-01,601608.SHA,卖出,74400,4.84
2021-09-01,600569.SHA,买入,100,4.23
2021-08-31,000159.SZA,买入,300,8.81
2021-08-31,002665.SZA,买入,1300,2.54
2021-08-30,600512.SHA,卖出,2000,3.35
2021-08-25,600782.SHA,买入,116200,7.94
2021-08-24,000720.SZA,买入,500,4.3
2021-08-24,603118.SHA,卖出,102200,9.04
2021-08-23,601608.SHA,买入,74400,4.08
2021-08-23,002418.SZA,卖出,500,4.27
2021-08-20,601606.SHA,卖出,7700,14.29
2021-08-20,300515.SZA,卖出,8500,11.89
2021-08-20,002544.SZA,卖出,7200,12.91
2021-08-19,600512.SHA,买入,2000,3.51
2021-08-18,601958.SHA,卖出,200,7.48
2021-08-16,601101.SHA,卖出,800,6.9
2021-08-13,603118.SHA,买入,102200,9.73
2021-08-12,000559.SZA,卖出,178500,5.58
2021-08-12,002418.SZA,买入,500,4.39
2021-08-11,601606.SHA,买入,7700,13.07
2021-08-11,300515.SZA,买入,8500,11.91
2021-08-11,002544.SZA,买入,7200,13.99
2021-08-10,002296.SZA,卖出,41100,7.43
2021-08-09,601958.SHA,买入,200,7.72
2021-08-05,601101.SHA,买入,800,6.39
2021-08-05,002544.SZA,买入,300,13.85
2021-08-03,000559.SZA,买入,178500,5.71
2021-08-03,605366.SHA,卖出,900,12.14
2021-08-02,002937.SZA,卖出,23000,15.06
2021-08-02,600537.SHA,卖出,71400,5.03
2021-08-02,300515.SZA,卖出,27100,11.62
2021-07-30,002296.SZA,买入,41100,7.37
2021-07-29,002349.SZA,卖出,58600,5.17
2021-07-23,605366.SHA,买入,900,13.55
2021-07-22,600537.SHA,买入,71400,4.61
2021-07-22,300515.SZA,买入,27100,12.14
2021-07-22,002937.SZA,买入,23000,14.28
2021-07-22,002135.SZA,卖出,1400,8.07
2021-07-21,002309.SZA,卖出,158100,6.26
2021-07-20,002349.SZA,买入,58600,5.89
2021-07-20,000040.SZA,卖出,100,3.05
2021-07-16,600851.SHA,卖出,36700,9.41
2021-07-13,002135.SZA,买入,1400,7.7
2021-07-12,002309.SZA,买入,158100,6.08
2021-07-12,002506.SZA,卖出,2800,3.92
2021-07-09,300678.SZA,卖出,49800,19.33
2021-07-09,000040.SZA,买入,100,2.81
2021-07-07,600851.SHA,买入,36700,9.72
2021-07-06,603685.SHA,卖出,29200,12.25
2021-07-01,002506.SZA,买入,2800,3.48
2021-06-30,300678.SZA,买入,49800,21.03
2021-06-30,002660.SZA,卖出,400,7.71
2021-06-30,002580.SZA,卖出,400,6.98
2021-06-30,002132.SZA,卖出,800,3.75
2021-06-28,688356.SHA,卖出,3600,291.5
2021-06-25,603685.SHA,买入,29200,12.7
2021-06-24,000903.SZA,卖出,93300,3.98
2021-06-21,002132.SZA,买入,800,3.55
2021-06-21,002660.SZA,买入,400,7.66
2021-06-21,002580.SZA,买入,400,7.2
2021-06-17,688356.SHA,买入,3600,231.0
2021-06-16,600708.SHA,卖出,300,2.47
2021-06-16,000839.SZA,卖出,300,2.12
2021-06-16,600331.SHA,卖出,300,2.1
2021-06-15,000903.SZA,买入,93300,4.16
2021-06-15,000716.SZA,卖出,258500,3.25
2021-06-11,600778.SHA,卖出,33100,4.06
2021-06-11,002383.SZA,卖出,17900,7.37
2021-06-11,002181.SZA,卖出,27800,4.4
2021-06-04,600708.SHA,买入,300,2.73
2021-06-04,600331.SHA,买入,300,2.42
2021-06-04,000839.SZA,买入,300,2.24
