成交日期,证券代码,买卖标志,成交数量,成交价格
2021-07-06,603685.SHA,卖出,9800,12.25
2021-07-05,002384.SZA,卖出,2000,20.11
2021-07-02,600212.SHA,卖出,19400,4.09
2021-07-01,002194.SZA,卖出,2900,12.7
2021-07-01,002506.SZA,买入,46100,3.48
2021-06-30,002580.SZA,卖出,3600,6.98
2021-06-30,002132.SZA,卖出,7400,3.75
2021-06-30,002660.SZA,卖出,3400,7.71
2021-06-30,000890.SZA,卖出,13400,5.99
2021-06-30,300678.SZA,买入,8500,21.03
2021-06-29,600758.SHA,卖出,23800,3.36
2021-06-29,002472.SZA,卖出,6300,15.79
2021-06-25,603685.SHA,买入,9800,12.7
2021-06-24,002384.SZA,买入,2000,20.13
2021-06-24,002194.SZA,买入,2900,13.55
2021-06-24,000553.SZA,卖出,8500,9.38
2021-06-24,000903.SZA,卖出,31300,3.98
2021-06-23,000890.SZA,买入,13400,6.32
2021-06-23,688356.SHA,卖出,1600,266.0
2021-06-23,000553.SZA,买入,8500,10.0
2021-06-23,002472.SZA,买入,6300,13.5
2021-06-23,600212.SHA,买入,19400,4.38
2021-06-23,600758.SHA,买入,23800,3.58
2021-06-21,002660.SZA,买入,3400,7.66
2021-06-21,002580.SZA,买入,3600,7.2
2021-06-21,002132.SZA,买入,7400,3.55
2021-06-17,688356.SHA,买入,1600,231.0
2021-06-17,002751.SZA,卖出,2900,19.8
2021-06-15,000903.SZA,买入,31300,4.16
2021-06-15,000716.SZA,卖出,120600,3.25
2021-06-11,002383.SZA,卖出,8700,7.37
2021-06-11,600778.SHA,卖出,16100,4.06
2021-06-07,002181.SZA,卖出,13500,4.46
2021-06-07,002751.SZA,买入,2900,20.36
2021-06-04,300325.SZA,卖出,100,1.62
2021-06-03,000716.SZA,买入,120600,3.43
2021-06-02,600778.SHA,买入,16100,3.95
2021-06-02,002181.SZA,买入,13500,4.7
2021-06-02,603839.SHA,卖出,9900,11.07
2021-06-02,600814.SHA,卖出,12500,7.8
2021-06-02,600103.SHA,卖出,37000,2.79
2021-06-02,002329.SZA,卖出,18500,5.57
2021-06-02,002383.SZA,买入,8700,7.28
2021-05-31,603726.SHA,卖出,14100,13.57
2021-05-26,300325.SZA,买入,100,1.69
2021-05-24,002329.SZA,买入,18500,5.31
2021-05-24,600814.SHA,买入,12500,7.85
2021-05-24,600103.SHA,买入,37000,2.65
2021-05-24,603839.SHA,买入,9900,9.92
2021-05-21,000838.SZA,卖出,64000,3.46
2021-05-21,000012.SZA,卖出,19800,8.61
2021-05-20,603726.SHA,买入,14100,13.55
2021-05-20,000838.SZA,买入,64000,3.0
2021-05-20,000012.SZA,买入,19800,9.67
2021-05-19,002969.SZA,卖出,100,5.54
2021-05-18,603278.SHA,卖出,32900,8.61
2021-05-18,000761.SZA,卖出,69100,4.23
2021-05-17,600812.SHA,卖出,100,10.29
2021-05-13,600812.SHA,买入,100,10.91
2021-05-12,601866.SHA,卖出,300,3.2
2021-05-10,002969.SZA,买入,100,5.19
2021-05-07,000761.SZA,买入,69100,4.21
2021-05-07,603278.SHA,买入,32900,8.82
2021-04-30,601388.SHA,卖出,200,3.64
2021-04-30,300689.SZA,卖出,29200,19.93
2021-04-28,601866.SHA,买入,300,2.87
2021-04-28,600307.SHA,卖出,400,1.9
2021-04-26,601388.SHA,买入,200,3.88
2021-04-26,600307.SHA,买入,400,2.01
2021-04-23,300689.SZA,买入,29200,21.1
2021-04-21,002614.SZA,卖出,34500,17.9
2021-04-20,601798.SHA,卖出,200,6.76
2021-04-16,601798.SHA,买入,200,7.4
2021-04-13,600676.SHA,卖出,200,4.46
2021-04-12,002614.SZA,买入,34500,17.47
2021-04-07,600188.SHA,卖出,24800,12.8
2021-04-07,300307.SZA,卖出,37200,7.7
2021-04-02,600676.SHA,买入,200,4.72
2021-04-01,600794.SHA,卖出,100,3.66
2021-03-30,002238.SZA,卖出,100,6.07
2021-03-29,600794.SHA,买入,100,3.86
2021-03-26,600188.SHA,买入,24800,12.11
2021-03-26,300307.SZA,买入,37200,8.08
2021-03-25,002238.SZA,买入,100,6.47
2021-03-25,600178.SHA,卖出,89900,6.7
2021-03-24,600178.SHA,买入,89900,7.27
2021-03-24,000558.SZA,卖出,100,3.15
2021-03-23,000629.SZA,卖出,142700,2.23
2021-03-23,603099.SHA,卖出,40000,8.42
2021-03-15,000558.SZA,买入,100,3.11
2021-03-12,603099.SHA,买入,40000,8.2
2021-03-12,000629.SZA,买入,142700,2.3
2021-03-10,600691.SHA,卖出,249100,2.64
2021-03-08,600691.SHA,买入,249100,2.82
2021-03-01,600337.SHA,卖出,200,5.59
2021-02-26,600337.SHA,买入,200,6.11
2021-02-26,600299.SHA,卖出,49000,14.34
2021-02-24,300459.SZA,卖出,300,3.75
2021-02-22,300459.SZA,买入,300,3.95
2021-02-10,600299.SHA,买入,49000,13.33
2021-02-05,601058.SHA,卖出,73400,8.93
2021-02-02,601058.SHA,买入,73400,9.79
2021-01-26,002011.SZA,卖出,181300,3.97
2021-01-15,002011.SZA,买入,181300,4.01
2021-01-11,601898.SHA,卖出,166900,4.36
2021-01-11,000966.SZA,卖出,100,3.69
2021-01-08,601898.SHA,买入,166900,4.71
2021-01-08,603985.SHA,卖出,30900,25.45
2021-01-07,000966.SZA,买入,100,4.06
2021-01-05,603985.SHA,买入,30900,26.79
2020-12-30,002631.SZA,卖出,56300,7.4
2020-12-29,002506.SZA,卖出,99400,4.16
2020-12-24,002506.SZA,买入,99400,4.44
2020-12-24,002631.SZA,买入,56300,7.84
2020-12-22,000830.SZA,卖出,71300,12.39
2020-12-22,000919.SZA,卖出,100,7.48
2020-12-21,000830.SZA,买入,71300,13.22
2020-12-16,002340.SZA,卖出,83700,5.39
2020-12-16,000516.SZA,卖出,49000,10.02
2020-12-14,600569.SHA,卖出,300,2.27
2020-12-14,601011.SHA,卖出,400,4.03
2020-12-11,600569.SHA,买入,300,2.47
2020-12-11,000919.SZA,买入,100,7.26
2020-12-10,000949.SZA,卖出,400,3.3
2020-12-08,000949.SZA,买入,400,3.54
2020-12-08,601011.SHA,买入,400,4.25
2020-12-07,002340.SZA,买入,83700,5.25
2020-12-07,000516.SZA,买入,49000,8.96
2020-12-07,000570.SZA,卖出,500,4.95
2020-12-04,600268.SHA,卖出,61600,7.27
2020-12-04,000063.SZA,卖出,12500,34.62
2020-11-26,000570.SZA,买入,500,5.26
2020-11-25,600268.SHA,买入,61600,7.34
2020-11-25,000063.SZA,买入,12500,36.0
2020-11-23,600336.SHA,卖出,106900,8.48
2020-11-12,600336.SHA,买入,106900,8.32
2020-11-11,300752.SZA,卖出,48200,18.46
2020-11-11,000922.SZA,卖出,100,8.12
2020-11-06,000922.SZA,买入,100,8.65
2020-11-02,300752.SZA,买入,48200,19.55
2020-11-02,603536.SHA,卖出,46400,20.33
2020-10-30,603536.SHA,买入,46400,21.51
