成交日期,证券代码,买卖标志,成交数量,成交价格
2021-11-25,603358.SHA,买入,24500,22.08
2021-11-22,300789.SZA,卖出,18000,30.18
2021-11-11,300789.SZA,买入,18000,29.2
2021-11-09,600487.SHA,卖出,33700,15.61
2021-10-29,600487.SHA,买入,33700,14.82
2021-10-28,603366.SHA,卖出,52200,4.75
2021-10-27,600730.SHA,卖出,43600,5.79
2021-10-19,603366.SHA,买入,52200,5.11
2021-10-19,600730.SHA,买入,43600,6.11
2021-10-14,000529.SZA,卖出,68100,5.88
2021-10-13,000554.SZA,卖出,100,5.36
2021-10-11,002339.SZA,卖出,18700,7.13
2021-10-08,000554.SZA,买入,100,5.72
2021-09-30,002339.SZA,买入,18700,7.68
2021-09-29,601177.SHA,卖出,16500,8.74
2021-09-28,000529.SZA,买入,68100,5.68
2021-09-24,600067.SHA,卖出,16600,4.58
2021-09-23,002270.SZA,卖出,39600,7.85
2021-09-22,601177.SHA,买入,16500,9.86
2021-09-22,600435.SHA,卖出,9100,8.9
2021-09-17,603969.SHA,卖出,18400,4.43
2021-09-17,600569.SHA,卖出,200,4.06
2021-09-16,603969.SHA,买入,18400,4.71
2021-09-16,600435.SHA,买入,9100,9.5
2021-09-15,002012.SZA,卖出,12500,6.71
2021-09-15,002105.SZA,卖出,9500,9.45
2021-09-13,600067.SHA,买入,16600,4.73
2021-09-10,002270.SZA,买入,39600,7.21
2021-09-10,300150.SZA,卖出,15900,4.92
2021-09-09,002665.SZA,卖出,105300,2.72
2021-09-08,600569.SHA,买入,200,4.17
2021-09-06,300150.SZA,买入,15900,5.3
2021-09-06,002105.SZA,买入,9500,8.79
2021-09-06,002012.SZA,买入,12500,6.74
2021-09-03,000159.SZA,卖出,30300,8.34
2021-09-02,600569.SHA,卖出,200,3.82
2021-09-01,600569.SHA,买入,200,4.23
2021-08-31,000159.SZA,买入,30300,8.81
2021-08-31,002665.SZA,买入,105300,2.54
2021-08-30,600512.SHA,卖出,160000,3.35
2021-08-19,600512.SHA,买入,160000,3.51
2021-08-18,601958.SHA,卖出,75200,7.48
2021-08-09,601958.SHA,买入,75200,7.72
2021-08-05,603685.SHA,卖出,44600,13.04
2021-07-27,603685.SHA,买入,44600,12.61
2021-07-26,605366.SHA,卖出,31200,12.84
2021-07-26,603803.SHA,卖出,9600,8.22
2021-07-23,002962.SZA,卖出,5800,14.34
2021-07-23,605366.SHA,买入,31200,13.55
2021-07-22,002349.SZA,卖出,77500,5.46
2021-07-21,603803.SHA,买入,9600,9.18
2021-07-21,002962.SZA,买入,5800,15.1
2021-07-20,002349.SZA,买入,77500,5.89
2021-07-20,600537.SHA,卖出,500,4.34
2021-07-20,603078.SHA,卖出,3200,26.54
2021-07-20,000040.SZA,卖出,30000,3.05
2021-07-16,600851.SHA,卖出,31500,9.41
2021-07-15,600537.SHA,买入,500,4.62
2021-07-15,002309.SZA,卖出,400,5.7
2021-07-15,002598.SZA,卖出,11100,7.37
2021-07-15,000737.SZA,卖出,8600,8.97
2021-07-12,002309.SZA,买入,400,6.08
2021-07-09,000040.SZA,买入,30000,2.81
2021-07-09,603078.SHA,买入,3200,25.6
2021-07-08,300678.SZA,卖出,8500,19.79
2021-07-07,600851.SHA,买入,31500,9.72
2021-07-06,002598.SZA,买入,11100,7.04
2021-07-06,000737.SZA,买入,8600,9.0
2021-07-06,002506.SZA,卖出,46100,4.05
