成交日期,证券代码,买卖标志,成交数量,成交价格
2021-06-07,002181.SZA,卖出,8400,4.46
2021-06-07,600321.SHA,卖出,8000,2.33
2021-06-07,300350.SZA,卖出,2600,7.94
2021-06-07,002737.SZA,卖出,1300,14.98
2021-06-04,600708.SHA,买入,100,2.73
2021-06-04,600331.SHA,买入,100,2.42
2021-06-04,000839.SZA,买入,100,2.24
2021-06-04,300325.SZA,卖出,100,1.62
2021-06-03,000716.SZA,买入,96800,3.43
2021-06-03,601890.SHA,卖出,100,6.18
2021-06-02,600778.SHA,买入,10000,3.95
2021-06-02,002383.SZA,买入,5400,7.28
2021-06-02,002181.SZA,买入,8400,4.7
2021-06-02,002426.SZA,卖出,100,3.29
2021-06-02,603839.SHA,卖出,10600,11.07
2021-06-02,600814.SHA,卖出,13400,7.8
2021-06-02,002329.SZA,卖出,19800,5.57
2021-05-31,000676.SZA,卖出,2800,6.5
2021-05-31,603726.SHA,卖出,5700,13.57
2021-05-28,000560.SZA,卖出,4400,5.05
2021-05-28,002426.SZA,买入,100,2.87
2021-05-27,600321.SHA,买入,8000,2.48
2021-05-27,300350.SZA,买入,2600,7.62
2021-05-27,002737.SZA,买入,1300,15.2
2021-05-27,002002.SZA,买入,4600,4.28
2021-05-27,000676.SZA,买入,2800,6.88
2021-05-27,000560.SZA,买入,4400,4.5
2021-05-26,300325.SZA,买入,100,1.69
2021-05-26,600103.SHA,卖出,39800,3.0
2021-05-25,601890.SHA,买入,100,6.05
2021-05-24,603839.SHA,买入,10600,9.92
2021-05-24,600814.SHA,买入,13400,7.85
2021-05-24,600103.SHA,买入,39800,2.65
2021-05-24,002329.SZA,买入,19800,5.31
2021-05-21,000012.SZA,卖出,8000,8.61
2021-05-21,600284.SHA,卖出,19900,6.29
2021-05-21,603159.SHA,卖出,10300,13.39
2021-05-21,000838.SZA,卖出,25900,3.46
2021-05-20,603726.SHA,买入,5700,13.55
2021-05-20,000838.SZA,买入,25900,3.0
2021-05-20,000012.SZA,买入,8000,9.67
2021-05-18,603278.SHA,卖出,27100,8.61
2021-05-17,603159.SHA,买入,10300,14.16
2021-05-14,601579.SHA,卖出,11400,12.79
2021-05-12,601579.SHA,买入,11400,11.3
2021-05-12,600284.SHA,买入,19900,6.47
2021-05-12,002527.SZA,卖出,40100,6.45
2021-05-11,002527.SZA,买入,40100,6.8
2021-05-10,000761.SZA,卖出,56700,4.79
2021-05-10,601866.SHA,卖出,400,3.22
2021-05-07,000761.SZA,买入,56700,4.21
2021-05-07,603278.SHA,买入,27100,8.82
2021-04-30,300689.SZA,卖出,24000,19.93
2021-04-30,601388.SHA,卖出,100,3.64
2021-04-28,601866.SHA,买入,400,2.87
2021-04-28,600307.SHA,卖出,200,1.9
2021-04-26,601388.SHA,买入,100,3.88
2021-04-26,600307.SHA,买入,200,2.01
2021-04-26,601611.SHA,卖出,100,7.86
2021-04-23,300689.SZA,买入,24000,21.1
2021-04-21,002614.SZA,卖出,28300,17.9
2021-04-20,601798.SHA,卖出,200,6.76
2021-04-16,601798.SHA,买入,200,7.4
