成交日期,证券代码,买卖标志,成交数量,成交价格
2021-11-25,603358.SHA,买入,57300,22.08
2021-11-22,300789.SZA,卖出,42000,30.18
2021-11-16,600609.SHA,卖出,100,7.29
2021-11-11,300789.SZA,买入,42000,29.2
2021-11-09,600487.SHA,卖出,78700,15.61
2021-11-05,600609.SHA,买入,100,6.58
2021-11-03,600376.SHA,卖出,100,4.66
2021-10-29,600487.SHA,买入,78700,14.82
2021-10-28,603366.SHA,卖出,123700,4.75
2021-10-28,600730.SHA,卖出,103400,5.62
2021-10-25,600376.SHA,买入,100,5.5
2021-10-19,603366.SHA,买入,123700,5.11
2021-10-19,600730.SHA,买入,103400,6.11
2021-10-18,002339.SZA,卖出,103800,7.65
2021-10-14,000554.SZA,卖出,100,4.78
2021-10-14,000529.SZA,卖出,80100,5.88
2021-10-08,000554.SZA,买入,100,5.72
2021-10-08,601177.SHA,卖出,100,9.27
2021-09-30,002339.SZA,买入,103800,7.68
2021-09-29,603969.SHA,卖出,20000,3.99
2021-09-29,600435.SHA,卖出,9900,9.21
2021-09-28,000529.SZA,买入,80100,5.68
2021-09-28,600735.SHA,卖出,34800,6.17
2021-09-28,600478.SHA,卖出,29200,6.86
2021-09-28,600172.SHA,卖出,23100,9.22
2021-09-23,002270.SZA,卖出,58000,7.85
2021-09-22,601177.SHA,买入,100,9.86
2021-09-17,600569.SHA,卖出,200,4.06
2021-09-16,603969.SHA,买入,20000,4.71
2021-09-16,600435.SHA,买入,9900,9.5
2021-09-16,600369.SHA,卖出,100,5.29
2021-09-15,600735.SHA,买入,34800,6.54
2021-09-15,600478.SHA,买入,29200,7.8
2021-09-15,600172.SHA,买入,23100,9.86
2021-09-15,300150.SZA,卖出,11900,4.85
2021-09-15,002105.SZA,卖出,7100,9.45
2021-09-15,002012.SZA,卖出,9300,6.71
2021-09-14,603977.SHA,卖出,31100,11.33
2021-09-14,002267.SZA,卖出,40400,8.25
2021-09-10,002452.SZA,卖出,51000,7.99
2021-09-10,002270.SZA,买入,58000,7.21
2021-09-09,000159.SZA,卖出,600,8.66
2021-09-09,002665.SZA,卖出,2200,2.72
2021-09-08,600569.SHA,买入,200,4.17
2021-09-07,600369.SHA,买入,100,5.26
2021-09-06,300150.SZA,买入,11900,5.3
2021-09-06,002105.SZA,买入,7100,8.79
2021-09-06,002012.SZA,买入,9300,6.74
2021-09-03,603977.SHA,买入,31100,10.65
2021-09-03,002452.SZA,买入,51000,6.49
2021-09-03,002267.SZA,买入,40400,8.2
2021-09-03,600782.SHA,卖出,22300,8.5
2021-09-02,000720.SZA,卖出,300,4.55
2021-09-01,600569.SHA,买入,100,4.23
2021-09-01,601608.SHA,卖出,205400,4.84
2021-08-31,002665.SZA,买入,2200,2.54
2021-08-31,000159.SZA,买入,600,8.81
2021-08-30,600512.SHA,卖出,3400,3.35
2021-08-25,600782.SHA,买入,22300,7.94
2021-08-24,000720.SZA,买入,300,4.3
2021-08-24,603118.SHA,卖出,19600,9.04
2021-08-23,601608.SHA,买入,205400,4.08
2021-08-23,002418.SZA,卖出,300,4.27
2021-08-20,601606.SHA,卖出,21300,14.29
2021-08-20,300515.SZA,卖出,23400,11.89
2021-08-20,002544.SZA,卖出,19900,12.91
2021-08-19,600512.SHA,买入,3400,3.51
2021-08-18,601958.SHA,卖出,100,7.48
2021-08-16,601101.SHA,卖出,1600,6.9
2021-08-13,603118.SHA,买入,19600,9.73
2021-08-12,000559.SZA,卖出,34200,5.58
2021-08-12,002418.SZA,买入,300,4.39
2021-08-11,601606.SHA,买入,21300,13.07
2021-08-11,300515.SZA,买入,23400,11.91
2021-08-11,002544.SZA,买入,19900,13.99
2021-08-10,002296.SZA,卖出,112800,7.43
2021-08-09,601958.SHA,买入,100,7.72
2021-08-05,601101.SHA,买入,1600,6.39
2021-08-05,002544.SZA,买入,700,13.85
2021-08-03,000559.SZA,买入,34200,5.71
2021-08-03,605366.SHA,卖出,1700,12.14
2021-08-02,002937.SZA,卖出,4400,15.06
2021-08-02,600537.SHA,卖出,13700,5.03
2021-08-02,300515.SZA,卖出,5200,11.62
2021-07-30,002296.SZA,买入,112800,7.37
2021-07-29,002349.SZA,卖出,161100,5.17
2021-07-23,605366.SHA,买入,1700,13.55
2021-07-22,600537.SHA,买入,13700,4.61
2021-07-22,300515.SZA,买入,5200,12.14
2021-07-22,002937.SZA,买入,4400,14.28
2021-07-22,002135.SZA,卖出,2700,8.07
2021-07-21,002309.SZA,卖出,30500,6.26
2021-07-20,002349.SZA,买入,161100,5.89
2021-07-16,600851.SHA,卖出,101000,9.41
2021-07-15,600537.SHA,买入,100,4.62
2021-07-13,002135.SZA,买入,2700,7.7
2021-07-12,002506.SZA,卖出,5400,3.92
2021-07-12,002309.SZA,买入,30500,6.08
2021-07-09,300678.SZA,卖出,9600,19.33
2021-07-07,600851.SHA,买入,101000,9.72
2021-07-06,603685.SHA,卖出,80300,12.25
2021-07-01,002506.SZA,买入,5400,3.48
2021-06-30,300678.SZA,买入,9600,21.03
2021-06-30,002660.SZA,卖出,700,7.71
2021-06-30,002580.SZA,卖出,800,6.98
2021-06-30,002132.SZA,卖出,1600,3.75
2021-06-28,688356.SHA,卖出,700,291.5
2021-06-25,603685.SHA,买入,80300,12.7
2021-06-24,000903.SZA,卖出,256500,3.98
2021-06-21,002580.SZA,买入,800,7.2
2021-06-21,002132.SZA,买入,1600,3.55
2021-06-21,002660.SZA,买入,700,7.66
2021-06-17,688356.SHA,买入,700,231.0
2021-06-16,600331.SHA,卖出,200,2.1
2021-06-16,600708.SHA,卖出,200,2.47
2021-06-16,000839.SZA,卖出,200,2.12
2021-06-15,000903.SZA,买入,256500,4.16
2021-06-15,000716.SZA,卖出,54700,3.25
2021-06-11,600778.SHA,卖出,90900,4.06
2021-06-11,002383.SZA,卖出,49300,7.37
2021-06-11,002181.SZA,卖出,76400,4.4
2021-06-04,600708.SHA,买入,200,2.73
2021-06-04,600331.SHA,买入,200,2.42
2021-06-04,000839.SZA,买入,200,2.24
2021-06-03,000716.SZA,买入,54700,3.43
2021-06-03,601890.SHA,卖出,300,6.18
2021-06-02,600814.SHA,卖出,5600,7.8
2021-06-02,002329.SZA,卖出,8400,5.57
2021-06-02,600103.SHA,卖出,16800,2.79
2021-06-02,603839.SHA,卖出,4500,11.07
2021-06-02,002181.SZA,买入,76400,4.7
2021-06-02,002383.SZA,买入,49300,7.28
2021-06-02,600778.SHA,买入,90900,3.95
2021-05-31,603726.SHA,卖出,25800,13.57
2021-05-31,000838.SZA,卖出,116800,3.09
2021-05-31,000012.SZA,卖出,36200,10.18
2021-05-25,601890.SHA,买入,300,6.05
2021-05-24,603839.SHA,买入,4500,9.92
2021-05-24,600814.SHA,买入,5600,7.85
2021-05-24,600103.SHA,买入,16800,2.65
2021-05-24,002329.SZA,买入,8400,5.31
2021-05-24,600812.SHA,卖出,100,9.91
2021-05-20,000838.SZA,买入,116800,3.0
2021-05-20,002527.SZA,卖出,25000,7.11
2021-05-20,000012.SZA,买入,36200,9.67
2021-05-20,603726.SHA,买入,25800,13.55
2021-05-19,002969.SZA,卖出,105100,5.54
2021-05-18,603278.SHA,卖出,26900,8.61
2021-05-18,000761.SZA,卖出,56500,4.23
2021-05-13,600812.SHA,买入,100,10.91
2021-05-12,601866.SHA,卖出,100,3.2
2021-05-11,002527.SZA,买入,25000,6.8
2021-05-11,600429.SHA,卖出,100,5.12
2021-05-10,002969.SZA,买入,105100,5.19
2021-05-10,601388.SHA,卖出,40400,4.21
